# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] schedule_hrtimeout_range
     0.12%     0.00%  postgres         [kernel.kallsyms]     [k] __wake_up_common_lock
     0.12%     0.09%  kcompactd1       [kernel.kallsyms]     [k] vma_interval_tree_iter_next
     0.12%     0.01%  swapper          [kernel.kallsyms]     [k] sched_ttwu_pending
     0.12%     0.00%  postgres         [kernel.kallsyms]     [k] __wake_up_sync_key
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_epoll_wait
     0.11%     0.05%  postgres         [kernel.kallsyms]     [k] internal_get_user_pages_fast
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_submit_bio
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] default_wake_function
     0.11%     0.01%  postgres         [kernel.kallsyms]     [k] do_epoll_wait
     0.11%     0.00%  postgres         [kernel.kallsyms]     [k] get_user_pages_fast
